,name,address,latlon
0,동아대학교석당미술관,부산광역시 서구 구덕로 225,"(35.1037409887179, 129.019414580951)"
1,아트뮤지엄 려,경기도 여주시 명품로 370,"(37.2380066533883, 127.607850674751)"
2,둔장마을미술관,전라남도 신안군 자은면 둔장길 33-4,"(34.9137811982411, 126.062713616514)"
3,해든뮤지움,인천광역시 강화군 길상면 장흥로101번길 44,"(37.612137054941, 126.508850715763)"
4,박득순미술관,전라남도 신안군 흑산면 진마을길 53,"(34.683476347337, 125.423317627017)"
5,장산화이트미술관,전라남도 신안군 장산면 장산동면길 303-3,"(34.6365462753814, 126.174087461094)"
6,세계조개박물관,전라남도 신안군 자은면 자은서부2길 508-65,"(34.877944489543, 125.995914260546)"
7,신안갯벌박물관,전라남도 신안군 증도면 지도증도로 1766-4,"(34.9644877787435, 126.13644601291)"
8,세계화석광물박물관,전라남도 신안군 안좌면 대리길 18-24,"(34.7152859587319, 126.169013438872)"
9,철새박물관,전라남도 신안군 흑산면 흑산읍동길 38,"(34.6948389177786, 125.430091790762)"
10,새공예박물관,전라남도 신안군 흑산면 흑산읍동길 38,"(34.6948389177786, 125.430091790762)"
11,에로스서각박물관,전라남도 신안군 암태면 박달로 362-26,"(34.8581268532376, 126.122899705893)"
12,이세돌바둑박물관,전라남도 신안군 비금면 비금북부길 573-1,"(34.7739748688704, 125.946459206008)"
13,K현대미술관,서울특별시 강남구 선릉로 807,"(37.5243794232829, 127.039171716001)"
14,고창판소리박물관,전라북도 고창군 고창읍 동리로 100,"(35.432352222646, 126.70250502115)"
15,고흥분청문화박물관,전라남도 고흥군 두원면 분청문화박물관길 99,"(34.6278242347211, 127.324471107303)"
16,공주기독교박물관,충청남도 공주시 제민1길 18,"(36.4509695026559, 127.122501141877)"
17,양구군립박수근미술관,강원도 양구군 양구읍 박수근로 265-15,"(38.0961751137205, 127.981615832024)"
18,공주민속극박물관,충청남도 공주시 의당면 돌모루1길 40,"(36.5015538538837, 127.147064261015)"
19,관아갤러리,충청북도 충주시 관아5길 10,"(36.9700757412802, 127.936085925077)"
20,광주김치박물관,광주광역시 남구 김치로 60,"(35.1096681816823, 126.866653368419)"
21,계양아트갤러리,인천광역시 계양구 계산새로 88,"(37.5374405601649, 126.737760072912)"
22,장수미술관,전라북도 장수군 계남면 장안산로 317,"(35.6762637805525, 127.592505081638)"
23,교과서박물관,세종특별시 연동면 청연로 492-14,"(36.5484560092845, 127.337481161748)"
24,가산박물관,충청북도 옥천군 안내면 안내회남로 310-5,"(36.4046670132774, 127.621897146489)"
25,LIUSEUM 세계민족악기전시관,강원도 춘천시 남산면 남이섬길 1,"(37.7901249506709, 127.526128703219)"
26,교동미술관,전라북도 전주시 완산구 경기전길 89,"(35.8154869995344, 127.151134930316)"
27,강원대학교박물관,강원도 춘천시 강원대학길 1,"(37.8679956160244, 127.74837984446)"
28,용산역사박물관,서울특별시 용산구 한강대로14길 35-29,"(37.5256680404431, 126.965769395985)"
29,국립경찰박물관,서울특별시 종로구 새문안로 41,"(37.5689816469659, 126.969645715545)"
