,지점,도로명주소,latlon
0,강릉교동점,강원 강릉시 교동광장로 115,"(37.7650597, 128.8741939)"
1,강릉대학로점,강원 강릉시 신대학길 19,"(37.7534976, 128.8959466)"
2,강릉입암점,강원 강릉시 용지로 23,"(37.7616867, 128.9020587)"
3,강릉포남점,강원 강릉시 하평길 37,"(37.7703491, 128.9124981)"
4,원주단구점,강원 원주시 남원로534번길 14,"(37.3307725, 127.9481213)"
5,원주무실점,강원 원주시 능라동길 48,"(37.3343769, 127.9303926)"
6,더블유시티점,강원 원주시 서원대로 171,"(37.3446431, 127.9307831)"
7,원주중앙로점,강원 원주시 중앙로 94,"(37.3479093, 127.9530356)"
8,원주기업도시점,강원 원주시 지정면 신지정로,"(37.3768797, 127.8705625)"
9,원주혁신도시점,강원 원주시 혁신로 61,"(37.33453, 127.9841388)"
10,춘천명동점,강원 춘천시 금강로 59,"(37.8779662, 127.7299928)"
11,강원대점,강원 춘천시 서부대성로 231-1,"(37.8760999, 127.7752864)"
12,춘천온의점,강원 춘천시 춘천로17번길 31,"(37.8664939, 127.7208886)"
13,춘천석사점,강원 춘천시 퇴계농공로 12,"(37.84903, 127.7438527)"
14,춘천석사점,강원 춘천시 퇴계농공로,"(37.84903, 127.7438527)"
15,춘천후평점,강원 춘천시 후석로 298-1,"(37.8560014, 127.7390216)"
16,홍천점,강원 홍천군 홍천읍 신장대로,"(37.6910336, 127.887728)"
17,횡성점,강원 횡성군 횡성읍 문정로,"(37.489008, 127.9878167)"
18,스타필드고양점,경기 고양시 덕양구 고양대로,"(37.6468814, 126.8945379)"
19,원흥역점,경기 고양시 덕양구 권율대로,"(37.6494819, 126.8739213)"
20,고양삼송점,경기 고양시 덕양구 권율대로,"(37.66368165, 126.8897948)"
21,고양향동점,경기 고양시 덕양구 꽃마을로,"(37.5990009, 126.8922509)"
22,고양원흥점,경기 고양시 덕양구 도래울로,"(37.6349523, 126.8724839)"
23,삼송역점,경기 고양시 덕양구 동송로,"(37.65269765, 126.8952176)"
24,고양행신점,경기 고양시 덕양구 중앙로,"(37.624066, 126.8352175)"
25,행신역점,경기 고양시 덕양구 충장로,"(37.6140067, 126.834463)"
26,고양동점,경기 고양시 덕양구 혜음로,"(37.7083059, 126.9020743)"
27,고양원당점,경기 고양시 덕양구 6,"(37.66321925, 126.8391902)"
28,화정로데오점,경기 고양시 덕양구 화신로260번길,"(37.63231005, 126.8324981)"
29,일산벨라시타점,경기 고양시 일산동구 강송로,"(37.6421823, 126.7925586)"
30,라페스타사거리점,경기 고양시 일산동구 무궁화로,"(37.6626275, 126.7683678)"
31,일산풍동점,경기 고양시 일산동구 숲속마을로,"(37.6674233, 126.8004773)"
32,일산식사점,경기 고양시 일산동구 45,"(37.6796636, 126.8149419)"
33,일산백마점,경기 고양시 일산동구 일산로,"(37.65710915, 126.7889638)"
34,정발산로점,경기 고양시 일산동구 정발산로,"(37.6566772, 126.7713377)"
35,웨스턴돔중앙점,경기 고양시 일산동구 정발산로,"(37.6551082, 126.7726709)"
36,백석역점,경기 고양시 일산동구 중앙로,"(37.64479425, 126.786392)"
37,마두역점,경기 고양시 일산동구 중앙로,"(37.65260835, 126.77817)"
38,일산차병원점,경기 고양시 일산동구 중앙로,"(37.65413715, 126.7757724)"
39,라페스타점,경기 고양시 일산동구 중앙로1275번길,"(37.6602356, 126.7698733)"
40,일산후곡점,경기 고양시 일산서구 일산로,"(37.6774845, 126.7676934)"
41,일산탄현점,경기 고양시 일산서구 일현로,"(37.6916843, 126.7635527)"
42,탄현제니스점,경기 고양시 일산서구 일현로,"(37.6992496, 126.7599927)"
43,주엽역점,경기 고양시 일산서구 중앙로,"(37.6698036, 126.7628576)"
44,대화역점,경기 고양시 일산서구 중앙로,"(37.6761455, 126.7460991)"
45,고양원마운트점,경기 고양시 일산서구 한류월드로,"(37.6650755, 126.7486293)"
46,과천점,경기 과천시 별양상가1로 25,"(37.42819723, 126.9926409)"
47,광명사거리역점,경기 광명시 광명로 897,"(37.40725, 126.85341)"
48,광명소하점,경기 광명시 금하로 464,"(37.4486669, 126.8839792)"
49,철산역점,경기 광명시 오리로856번길 7,"(37.4752523, 126.8687941)"
50,광명아브뉴프랑점,경기 광명시 일직동 513,"(37.419486, 126.8837827)"
51,광명하안점,경기 광명시 하안로 289,"(37.46161521, 126.8803754)"
52,곤지암점,경기 광주시 곤지암읍 곤지암로,"(37.350657, 127.336701)"
53,경기광주점,경기 광주시 중앙로 94,"(37.4326437, 127.2618819)"
54,광주태전점,경기 광주시 태봉로13번길 3,"(37.39038, 127.22346)"
55,구리인창점,경기 구리시 건원대로 42,"(37.60479224, 127.1402318)"
56,구리수택사거리점,경기 구리시 검배로 36,"(37.59807445, 127.1430801)"
57,구리역점,경기 구리시 경춘로 247,"(37.6018256, 127.1425288)"
58,구리갈매점,경기 구리시 산마루로 24,"(37.63110485, 127.1165648)"
59,구리수택점,경기 구리시 이문안로 70,"(37.59206857, 127.139018)"
60,구리토평점,경기 구리시 장자대로86번길 14-4,"(37.58709027, 127.1397568)"
61,금정역점,경기 군포시 군포로 739-1,"(37.37123497, 126.9431541)"
62,롯데피트인산본점,경기 군포시 번영로 485,"(37.35747354, 126.9309516)"
63,산본학원가점,경기 군포시 산본로 382,"(37.36425068, 126.9303972)"
64,산본점,경기 군포시 산본로323번길 20-17,"(37.35926744, 126.9310805)"
65,걸포북변역점,경기 김포시 걸포2로 21,"(37.63253595, 126.7048224)"
66,김포고촌점,경기 김포시 고촌읍 김포대로,"(37.60130625, 126.7707677)"
67,현대프리미엄아울렛김포점,경기 김포시 고촌읍 아라육로152번길,"(37.5973405, 126.7858089)"
68,김포운양점,경기 김포시 김포한강11로 288-24,"(37.6447694, 126.6960431)"
69,김포장기점,경기 김포시 김포한강4로 119,"(37.64432055, 126.6677039)"
70,김포구래역점,경기 김포시 김포한강4로 487,"(37.6394976, 126.6785769)"
71,김포라베니체점,경기 김포시 김포한강4로 8,"(37.6394976, 126.6785769)"
72,김포구래점,경기 김포시 김포한강9로76번길 21,"(37.6441379, 126.6268322)"
73,김포사우점,경기 김포시 사우중로 45,"(37.6192313, 126.7184181)"
74,김포감정점,경기 김포시 중봉로25번길 6,"(37.6265723, 126.6944796)"
75,김포통진점,경기 김포시 통진읍 조강로,"(37.6902178, 126.600535)"
76,김포풍무점,경기 김포시 풍무로 107,"(37.5975378, 126.7223256)"
77,평내호평역점,경기 남양주시 늘을2로 32,"(37.6556538, 127.2440774)"
78,남양주다산점,경기 남양주시 다산순환로 350,"(37.6269182, 127.1473828)"
79,현대프리미엄아울렛스페이스원점,경기 남양주시 다산순환로 50,"(37.615944, 127.1522248)"
80,별내북부점,경기 남양주시 덕송2로10번길 27-6,"(37.66700801, 127.1164476)"
81,남양주도농점,경기 남양주시 도농로 29,"(37.60841525, 127.1568246)"
82,별내미리내마을점,경기 남양주시 별내5로5번길 15,"(37.6503915, 127.1124753)"
83,남양주청학점,경기 남양주시 별내면 청학로중앙길,"(37.7093589, 127.1145528)"
84,남양주별내점,경기 남양주시 별내중앙로 84,"(37.6492326, 127.1213067)"
85,남양주덕소점,경기 남양주시 와부읍 덕소로,"(37.5873698, 127.2090858)"
86,남양주장현점,경기 남양주시 진접읍 장현로,"(37.7175314, 127.1808647)"
87,평내점,경기 남양주시 평내로29번길 49,"(37.6450323, 127.2348544)"
88,남양주화도점,경기 남양주시 화도읍 경춘로,"(37.6698089, 127.3738354)"
89,남양주마석점,경기 남양주시 화도읍 맷돌로91번길,"(37.6590466, 127.3018884)"
90,지행역점,경기 동두천시 지행로 49,"(37.89259238, 127.0527952)"
91,부천역남부점,경기 부천시 경인로 226,"(37.4872182, 126.8186215)"
92,부천타운,경기 부천시 길주로 105,"(37.5062601, 126.7541408)"
93,홈플러스부천상동점,경기 부천시 길주로 118,"(37.506556, 126.7401826)"
94,부천중동점,경기 부천시 길주로 267,"(37.506556, 126.7401826)"
95,롯데백화점중동점,경기 부천시 길주로 300,"(37.506556, 126.7401826)"
96,송내북부점,경기 부천시 부일로 223,"(37.4867576, 126.8142736)"
97,역곡역점,경기 부천시 부일로 729,"(37.4858534, 126.8107786)"
98,부천역사점,경기 부천시 부천로 지하,"(37.48448761, 126.7826673)"
99,부천심곡점,경기 부천시 부천로29번길 7,"(37.48694069, 126.7829957)"
100,부천북부점,경기 부천시 부천로9번길 28,"(37.48547091, 126.7814232)"
101,송내로데오점,경기 부천시 상일로94번길 34,"(37.49006283, 126.7525806)"
102,부천시청역점,경기 부천시 석천로 180,"(37.5033877, 126.7630403)"
103,홈플러스부천여월점,경기 부천시 소사로 663,"(37.4708667, 126.7958041)"
104,부천원종점,경기 부천시 소사로 759,"(37.4708667, 126.7958041)"
105,뉴코아부천점,경기 부천시 송내대로 239,"(37.4869082, 126.7533337)"
106,송내남부역점,경기 부천시 송내대로 35,"(37.4869082, 126.7533337)"
107,부천신중동점,경기 부천시 신흥로 201,"(37.50162998, 126.7762449)"
108,부천오정점,경기 부천시 오정로 250,"(37.5428181, 126.80931)"
109,스타필드시티부천점,경기 부천시 옥길로 1,"(37.46091072, 126.8133773)"
110,부천옥길점,경기 부천시 옥길로 124,"(37.46767621, 126.8231512)"
111,판교유스페이스점,경기 성남시 분당구 대왕판교로,"(37.4051928, 127.1031826)"
