,연번,의료기관명,대표자,도로명주소,위도,경도,전화번호,계,일반,정신,개설일자,latlon
0,1,동남권원자력의학원,박상일,부산광역시 기장군 장안읍 좌동길 40,35.32141899,129.2436492,051-720-5114,255,255,0,2010-04-16,"(35.32141899, 129.2436492)"
1,2,부산성모병원(재단법인천주교부산교구유지재단),김준현,부산광역시 남구 용호로232번길 25-14 (용호동),35.11045733,129.109192,051-933-7114,368,368,0,2006-06-02,"(35.11045733, 129.109192)"
2,3,좋은문화병원,문화숙,부산광역시 동구 범일로 119 (범일동),35.14072399,129.0590638,051-644-2002,292,292,0,1986-11-01,"(35.14072399, 129.0590638)"
3,4,재단법인한호기독교선교회일신기독병원,인명진,부산광역시 동구 정공단로 27 (좌천동),35.13550455,129.0545971,051-630-0300,150,150,0,1984-07-02,"(35.13550455, 129.0545971)"
4,5,의료법인정화의료재단김원묵기념봉생병원,김남희,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.13085784,129.0505709,051-664-4000,402,360,42,1985-01-05,"(35.13085784, 129.0505709)"
5,6,동래봉생병원,정의화,부산광역시 동래구 안연로109번길 27 (안락동),35.19694648,129.0961666,051-531-6000,255,255,0,1990-06-01,"(35.19694648, 129.0961666)"
6,7,대동병원,박성환,부산광역시 동래구 충렬대로 187 (명륜동),35.20427317,129.0802155,051-554-1233,432,432,0,1980-02-21,"(35.20427317, 129.0802155)"
7,8,의료법인광혜의료재단광혜병원,이광웅,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",35.20703333,129.0711361,051-503-2111,214,175,0,1983-12-07,"(35.20703333, 129.0711361)"
8,9,의료법인온그룹의료재단온종합병원,정태윤,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",35.15787736,129.0499844,051-607-0133,483,483,0,2010-02-26,"(35.15787736, 129.0499844)"
9,10,인제대학교부산백병원,이연재,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.14645447,129.0205715,051-890-6114,725,705,20,1979-06-01,"(35.14645447, 129.0205715)"
10,11,학교법인)동의병원,정량부,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",35.16992218,129.0767444,051-867-5101,449,449,0,1990-04-21,"(35.16992218, 129.0767444)"
11,12,학교법인 춘해병원,김조영,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),35.14703698,129.0585477,051-638-8000,201,201,0,1974-02-26,"(35.14703698, 129.0585477)"
12,13,구포성심병원,박시환,부산광역시 북구 낙동대로 1786 (구포동),35.20971003,129.004751,051-330-2001,243,243,0,1983-04-19,"(35.20971003, 129.004751)"
13,14,의료법인인당의료재단부민병원,정흥태,부산광역시 북구 만덕대로 59 (덕천동),35.21191432,129.0112123,051-330-3000,374,374,0,2003-01-02,"(35.21191432, 129.0112123)"
14,15,의료법인은성의료재단좋은삼선병원,구정회,부산광역시 사상구 가야대로 326 (주례동),35.15056774,129.0081979,051-322-0900,355,355,0,1995-03-30,"(35.15056774, 129.0081979)"
15,16,한국보훈복지의료공단부산보훈병원,이정주,부산광역시 사상구 백양대로 420 (주례동),35.15333437,129.0065651,051-601-6000,432,432,0,1992-05-11,"(35.15333437, 129.0065651)"
16,17,고신대학교복음병원,김종철,부산광역시 서구 감천로 262 (암남동),35.08029169,129.0157202,051-990-6114,941,921,20,1974-02-26,"(35.08029169, 129.0157202)"
17,18,부산대학교병원,정성운,부산광역시 서구 구덕로 179 (아미동1가),35.10105418,129.0192221,051-240-7000,1182,1158,24,1981-08-27,"(35.10105418, 129.0192221)"
18,19,동아대학교병원,정휘위,부산광역시 서구 대신공원로 26 (동대신동3가),35.12000584,129.0176037,051-240-2400,998,978,20,1990-03-03,"(35.12000584, 129.0176037)"
19,20,삼육부산병원,강순기,부산광역시 서구 대티로 170 (서대신동2가),35.11177721,129.0107498,051-242-9751,290,290,0,1974-03-07,"(35.11177721, 129.0107498)"
20,21,의료법인은성의료재단좋은강안병원,구정회,부산광역시 수영구 수영로 493 (남천동),35.15015906,129.1107244,051-625-0900,533,533,0,2005-02-23,"(35.15015906, 129.1107244)"
21,22,비에이치에스한서병원,윤철수,부산광역시 수영구 수영로 615 (광안동),35.16104606,129.1128811,051-756-0081,299,299,0,1987-11-02,"(35.16104606, 129.1128811)"
22,23,부산광역시의료원,김휘택,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.18731265,129.0591792,051-507-3000,548,516,32,1982-06-30,"(35.18731265, 129.0591792)"
23,24,의료법인행도의료재단해동병원,조평래,부산광역시 영도구 태종로 133 (봉래동3가),35.09194298,129.0438643,051-412-6161,265,265,0,1984-07-05,"(35.09194298, 129.0438643)"
24,25,영도병원,정준환,부산광역시 영도구 태종로 85 (대교동2가),35.0922712,129.0405372,051-414-8101,219,219,0,1996-06-29,"(35.0922712, 129.0405372)"
25,26,재단법인천주교부산교구유지재단메리놀병원,손삼석,부산광역시 중구 중구로 121 (대청동4가),35.10758097,129.0324638,051-465-8801,359,359,0,1974-04-30,"(35.10758097, 129.0324638)"
26,27,의료법인인당의료재단해운대부민병원,정흥태,부산광역시 해운대구 해운대로 584 (우동),35.16142041,129.1556561,051-602-8000,337,337,0,2015-07-09,"(35.16142041, 129.1556561)"
27,28,인제대학교해운대백병원,이혁상,부산광역시 해운대구 해운대로 875 (좌동),35.17334314,129.1821812,051-797-0100,804,789,15,2010-02-10,"(35.17334314, 129.1821812)"
